,online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),menu_item,listed_in(type)
0,1,1,4.1,775,1,1,800.0,9088,Buffet
1,1,0,4.1,787,1,1,800.0,9088,Buffet
2,1,0,3.8,918,1,7,800.0,9088,Buffet
3,0,0,3.7,88,1,5,300.0,9088,Buffet
4,0,0,3.8,166,4,1,600.0,9088,Buffet
5,1,0,3.8,286,4,1,600.0,9088,Buffet
6,0,0,3.6,8,57,1,800.0,9088,Buffet
7,1,1,4.6,2556,1,7,600.0,9088,Cafes
8,1,0,4.0,324,1,0,700.0,9088,Cafes
9,1,0,4.2,504,1,0,550.0,9088,Cafes
10,1,0,4.1,402,1,0,500.0,9088,Cafes
11,1,1,4.2,150,1,0,600.0,9088,Cafes
12,1,1,4.2,164,1,0,500.0,9088,Cafes
13,0,0,4.0,424,1,0,450.0,9088,Cafes
14,1,0,3.8,918,1,7,800.0,9088,Cafes
15,1,0,3.8,90,1,0,650.0,9088,Cafes
16,1,0,3.9,133,1,0,800.0,9088,Cafes
17,1,0,3.8,144,1,0,700.0,9088,Cafes
18,0,0,3.9,93,1,0,300.0,9088,Cafes
19,1,0,3.1,13,1,0,400.0,9088,Cafes
20,1,0,3.0,62,1,0,400.0,9088,Cafes
21,1,0,3.7,180,1,0,500.0,9088,Cafes
22,0,0,3.6,28,1,0,900.0,9088,Cafes
23,1,0,3.6,62,1,7,600.0,9088,Cafes
24,0,0,3.7,31,1,0,300.0,9088,Cafes
25,0,0,3.2,11,1,0,600.0,9088,Cafes
26,1,0,3.8,75,1,7,200.0,9088,Cafes
27,0,0,3.3,4,1,0,500.0,9088,Cafes
28,0,0,3.3,23,1,0,550.0,9088,Cafes
29,0,0,3.8,148,4,7,550.0,9088,Cafes
30,1,0,4.0,219,4,0,600.0,9088,Cafes
31,1,0,2.8,506,1,5,500.0,9088,Delivery
32,1,0,3.9,35,1,3,500.0,2885,Delivery
33,1,0,3.9,172,1,3,750.0,9088,Delivery
34,1,0,4.2,415,1,5,500.0,3003,Delivery
